bedrooms,rent,sqft,date,longitude,latitude
1.0,999.0,704.0,2014-05-11,-117.630126,34.093871
,149.0,,2014-05-11,-117.893927,34.10671
1.0,872.0,,2014-05-11,-117.2351,33.9157
2.0,985.0,859.0,2014-05-11,-117.162743,34.070113
1.0,872.0,,2014-05-11,-117.2351,33.9157
2.0,795.0,,2014-05-11,-117.333585,34.511883000000005
3.0,1600.0,1513.0,2014-05-11,-117.147217,33.531057000000004
2.0,1077.0,,2014-05-11,-117.3129,34.031
1.0,1186.0,700.0,2014-05-11,-117.613937,34.132309
1.0,1103.0,804.0,2014-05-11,-117.141638,33.553627
2.0,1395.0,1191.0,2014-05-11,-117.323513,33.697637
1.0,1485.0,682.0,2014-05-11,-117.5941,34.107
3.0,1450.0,,2014-05-11,-117.0489,34.0282
4.0,2645.0,2032.0,2014-05-11,-117.5941,34.107
1.0,1010.0,750.0,2014-05-11,-117.59316,33.865749
1.0,,637.0,2014-05-11,-117.735391,33.968513
2.0,1749.0,1202.0,2014-05-11,-117.6096,33.9208
2.0,1608.0,811.0,2014-05-11,-117.563775,34.118162
2.0,1365.0,908.0,2014-05-11,-117.498093,33.912309
1.0,872.0,,2014-05-11,-117.2351,33.9157
2.0,,,2014-05-11,-117.634764,34.09591
1.0,1125.0,728.0,2014-05-11,-117.6404,33.954
3.0,2351.0,1556.0,2014-05-11,-117.548288,34.113471999999994
3.0,,,2014-05-11,-117.634764,34.09591
2.0,1275.0,,2014-05-11,-117.701833,34.014641
2.0,,,2014-05-11,-117.634764,34.09591
2.0,,870.0,2014-05-11,-117.735391,33.968513
2.0,,920.0,2014-05-11,-117.735391,33.968513
2.0,1225.0,886.0,2014-05-11,-117.3389,33.9761
2.0,1375.0,1050.0,2014-05-11,-117.59316,33.865749
1.0,745.0,,2014-05-11,-117.293613,34.476317
2.0,1640.0,1066.0,2014-05-11,-117.6583,34.1144
1.0,1025.0,700.0,2014-05-11,-117.6583,34.1144
2.0,1360.0,990.0,2014-05-11,-117.691888,34.028295
1.0,1297.0,775.0,2014-05-11,-117.6096,33.9208
1.0,855.0,630.0,2014-05-11,-117.4867,33.9228
