"","group","year","var","estimate","MOE","growth_per_base2013","statsig_90per_value","statsig_90per","statsig_95per_value","statsig_95per"
"1","Fresno_TCC",2013,"Pop_tot",39140,1646.96569484613,0,NA,NA,NA,NA
"2","Fresno_TCC",2014,"Pop_tot",39389,1498.60268250127,0.636177823198774,0.411323562649801,"nonsignificant",0.490087649114656,"nonsignificant"
"3","Fresno_TCC",2015,"Pop_tot",38854,1348.96515892739,-0.730710270822688,-0.349419600457201,"nonsignificant",-0.416329736714963,"nonsignificant"
"4","Fresno_TCC",2016,"Pop_tot",39322,1411.48538780959,0.464997445068983,0.178193427682562,"nonsignificant",0.21231557340901,"nonsignificant"
"5","Fresno_TCC",2017,"Pop_tot",38699,1500.9626910753,-1.12672457843638,-0.363984620975205,"nonsignificant",-0.433683803715138,"nonsignificant"
"6","Fresno_TCC",2018,"Pop_tot",39860,1493.88955415051,1.83955033214103,0.532660258781868,"nonsignificant",0.634659031740098,"nonsignificant"
"7","Fresno_TCC",2013,"Hisp_per",61.5355135411344,2.88314653826416,0,NA,NA,NA,NA
"8","Fresno_TCC",2014,"Hisp_per",63.4542638807789,2.5539068857966,3.11811867526202,1.83242401314552,"significant",2.18331371779041,"significant"
"9","Fresno_TCC",2015,"Hisp_per",64.9585628249344,2.44505033116817,5.56272156811008,2.35516159465841,"significant",2.80614998512492,"significant"
"10","Fresno_TCC",2016,"Hisp_per",65.660444534866,2.64126195367928,6.70333398773735,2.24037276145304,"significant",2.66938031151851,"significant"
"11","Fresno_TCC",2017,"Hisp_per",65.4642238817541,2.7619075573233,6.38446015079317,1.80974618456779,"significant",2.15629332629353,"significant"
"12","Fresno_TCC",2018,"Hisp_per",67.7546412443552,2.30460241829796,10.1065666723714,2.77170766242431,"significant",3.30246019352684,"significant"
"13","Fresno_TCC",2013,"NonHisp_whit_per",6.39243740419009,1.02622027934335,0,NA,NA,NA,NA
"14","Fresno_TCC",2014,"NonHisp_whit_per",6.84455050902536,1.08522923506541,7.07262466956545,1.11342959625286,"nonsignificant",1.32663951893958,"nonsignificant"
"15","Fresno_TCC",2015,"NonHisp_whit_per",6.23873989807999,1.03698426080496,-2.4043646639285,-0.274011966845792,"nonsignificant",-0.326482343475838,"nonsignificant"
"16","Fresno_TCC",2016,"NonHisp_whit_per",6.47474696098876,0.988845836436338,1.28760833457239,0.122656777349007,"nonsignificant",0.146144245352008,"nonsignificant"
"17","Fresno_TCC",2017,"NonHisp_whit_per",7.16039174138867,1.35375451370453,12.0134823173271,0.831428191129114,"nonsignificant",0.990637844749583,"nonsignificant"
"18","Fresno_TCC",2018,"NonHisp_whit_per",7.24535875564476,1.07761874934441,13.3426625483357,0.94286129979669,"nonsignificant",1.1234092082684,"nonsignificant"
"19","Fresno_TCC",2013,"NonHisp_color_all_per",32.0720490546755,2.7696268089111,0,NA,NA,NA,NA
"20","Fresno_TCC",2014,"NonHisp_color_all_per",29.7011856101957,2.57042343768037,-7.39230424734635,-2.30794330121424,"nonsignificant",-2.74988989080845,"nonsignificant"
"21","Fresno_TCC",2015,"NonHisp_color_all_per",28.8026972769856,2.23694510762181,-10.1937726900966,-2.3885137962033,"nonsignificant",-2.845888778455,"nonsignificant"
"22","Fresno_TCC",2016,"NonHisp_color_all_per",27.8648085041453,2.10127949392022,-13.1180909063773,-2.57005599522429,"nonsignificant",-3.06219437728851,"nonsignificant"
"23","Fresno_TCC",2017,"NonHisp_color_all_per",27.3753843768573,2.02697766012516,-14.6441054321522,-2.51679340849426,"nonsignificant",-2.99873257182294,"nonsignificant"
"24","Fresno_TCC",2018,"NonHisp_color_all_per",25,1.97614920112994,-22.0505058551741,-3.41925853057336,"nonsignificant",-4.07401016408741,"nonsignificant"
"25","Fresno_TCC",2013,"NonHisp_color_other_per",1.72457843638222,0.647443200066277,0,NA,NA,NA,NA
"26","Fresno_TCC",2014,"NonHisp_color_other_per",2.07672192744167,0.757435230365579,20.41910554084,1.29992956415501,"nonsignificant",1.54885224665278,"nonsignificant"
"27","Fresno_TCC",2015,"NonHisp_color_other_per",2.12590724249755,0.627150652647421,23.2711251427471,1.1580421962338,"nonsignificant",1.37979495721474,"nonsignificant"
"28","Fresno_TCC",2016,"NonHisp_color_other_per",2.37271756268755,0.70622085892414,37.5824672645791,1.43665865273843,"nonsignificant",1.71176350113515,"nonsignificant"
"29","Fresno_TCC",2017,"NonHisp_color_other_per",1.83208868446213,0.489891844716699,6.23400164421897,0.243539742936545,"nonsignificant",0.290175012860564,"nonsignificant"
"30","Fresno_TCC",2018,"NonHisp_color_other_per",2.43351731058705,0.777302633046384,41.1079519057442,1.1528048353642,"nonsignificant",1.37355469745521,"nonsignificant"
"31","Fresno_TCC",2013,"NonHisp_blac_per",20.0894225855902,1.9573218922594,0,NA,NA,NA,NA
"32","Fresno_TCC",2014,"NonHisp_blac_per",17.867932671558,1.91045097942125,-11.0580077877678,-2.98756524528296,"nonsignificant",-3.55965220714565,"nonsignificant"
"33","Fresno_TCC",2015,"NonHisp_blac_per",16.4744942605652,1.74750247141386,-17.9941872874829,-3.5833365790324,"nonsignificant",-4.2695074133152,"nonsignificant"
"34","Fresno_TCC",2016,"NonHisp_blac_per",17.010833630029,1.64081834566061,-15.3244272822924,-2.55979498998834,"nonsignificant",-3.04996849870951,"nonsignificant"
"35","Fresno_TCC",2017,"NonHisp_blac_per",17.3699578800486,1.79007424634278,-13.536798750464,-1.8856349956062,"nonsignificant",-2.24671403731802,"nonsignificant"
